0.2386502133	3.28536308106766E-05	5.6438795886	0.0007621545	0.944119148	1.50923990830888E-05	7.9499618284	0.0012110342
0.2765194947	3.27607800433461E-05	5.6428904202	0.000651417	0.9254660734	1.72084391904992E-05	6.7367120151	0.0009131111
0.3964576482	3.28536308106766E-05	5.6420118668	0.0004427855	0.8508857186	0.000023405	4.3497136626	0.0004704291
0.4699203018	3.84104634594137E-05	5.6418812534	0.000426702	0.7949583697	3.10150695413651E-05	3.4472787169	0.0004055475
0.4926479793	0.000033314	5.6417553529	0.0003501331	0.7763082381	2.77650787391816E-05	3.2171671482	0.0003234878
0.5778139382	3.31650830434637E-05	5.6410718661	0.0002869213	0.7016720382	3.03476558421623E-05	2.499013379	0.000243126
0.6568372107	3.30385495177332E-05	5.6415182978	0.0002417323	0.6271490646	3.19524361689465E-05	1.9818787339	0.0001930092
0.732673512	0.000033485	5.641821667	0.000209967	0.5526269932	0.000033299	1.5804837731	0.0001604539
0.8825981674	4.53813574676648E-05	5.6413885414	0.0002105231	0.4034110603	4.45265429327462E-05	0.9793603566	0.0001510893
0.9601003855	3.59526529103894E-05	5.6413608384	0.0001419662	0.3288308511	3.37802771707784E-05	0.7438770941	9.93435522766393E-05
1.042308884	3.63214437423166E-05	5.6413195763	0.000119639	0.254245592	3.16313501135122E-05	0.5383373881	8.17198136285864E-05
1.1330642597	3.67072797528847E-05	5.6413525025	9.69155035370167E-05	0.179679727	2.81853517521617E-05	0.3569629112	6.45402968782168E-05
