0,01	0,0125	0,01205	0	-0,17083
0,02	0,01243	0,01165	-0,01	-0,17563
0,03	0,0122	0,01113	-0,02	-0,18051
0,04	0,01183	0,0105	-0,03	-0,18546
0,05	0,01131	0,00975	-0,04	-0,19049
0,06	0,01066	0,0089	-0,05	-0,19559
0,07	0,00988	0,00796	-0,06	-0,20076
0,08	0,00898	0,00693	-0,07	-0,206
0,09	0,00797	0,00583	-0,08	-0,21131
0,1	0,00686	0,00466	-0,09	-0,21669
0,11	0,00568	0,00345	-0,1	-0,22214
0,12	0,00442	0,00219	-0,11	-0,22765
0,13	0,00311	9,175E-4	-0,12	-0,23323
0,14	0,00176	-3,7E-4	-0,13	-0,23887
0,15	3,925E-4	-0,00166	-0,14	-0,24457
0,16	-9,8E-4	-0,00293	-0,15	-0,25032
0,17	-0,00234	-0,00416	-0,16	-0,25614
0,18	-0,00367	-0,00536	-0,17	-0,26201
0,19	-0,00496	-0,0065	-0,18	-0,26793
0,2	-0,00619	-0,00757	-0,19	-0,2739
0,21	-0,00735	-0,00856	-0,2	-0,27992
0,22	-0,00841	-0,00945	-0,21	-0,28599
0,23	-0,00938	-0,01025	-0,22	-0,2921
0,24	-0,01023	-0,01094	-0,23	-0,29826
0,25	-0,01095	-0,01151	-0,24	-0,30445
0,26	-0,01155	-0,01195	-0,25	-0,31068
0,27	-0,012	-0,01227	-0,26	-0,31694
0,28	-0,01232	-0,01245	-0,27	-0,32324
0,29	-0,01248	-0,0125	-0,28	-0,32956
0,3	-0,01249	-0,01241	-0,29	-0,33592
0,31	-0,01235	-0,01219	-0,3	-0,34229
0,32	-0,01206	-0,01184	-0,31	-0,34868
0,33	-0,01162	-0,01135	-0,32	-0,35509
0,34	-0,01105	-0,01074	-0,33	-0,36152
0,35	-0,01034	-0,01002	-0,34	-0,36796
0,36	-0,0095	-0,00919	-0,35	-0,3744
0,37	-0,00856	-0,00826	-0,36	-0,38085
0,38	-0,00751	-0,00723	-0,37	-0,3873
0,39	-0,00636	-0,00613	-0,38	-0,39375
0,4	-0,00515	-0,00496	-0,39	-0,4002
0,41	-0,00386	-0,00374	-0,4	-0,40663
0,42	-0,00253	-0,00248	-0,41	-0,41306
0,43	-0,00118	-0,00119	-0,42	-0,41946
0,44	1,96375E-4	1,15E-4	-0,43	-0,42585
0,45	0,00157	0,00142	-0,44	-0,43222
0,46	0,00292	0,0027	-0,45	-0,43856
0,47	0,00424	0,00395	-0,46	-0,44488
0,48	0,0055	0,00517	-0,47	-0,45116
0,49	0,0067	0,00632	-0,48	-0,4574
0,5	0,00782	0,00741	-0,49	-0,4636
0,51	0,00884	0,00841	-0,5	-0,46976
0,52	0,00975	0,00932	-0,51	-0,47587
0,53	0,01056	0,01014	-0,52	-0,48193
0,54	0,01123	0,01084	-0,53	-0,48793
0,55	0,01176	0,01142	-0,54	-0,49388
0,56	0,01215	0,01189	-0,55	-0,49976
0,57	0,0124	0,01222	-0,56	-0,50558
0,58	0,0125	0,01243	-0,57	-0,51133
0,59	0,01244	0,0125	-0,58	-0,517
0,6	0,01224	0,01244	-0,59	-0,5226
0,61	0,01189	0,01225	-0,6	-0,52812
0,62	0,01139	0,01193	-0,61	-0,53355
0,63	0,01076	0,01148	-0,62	-0,5389
0,64	0,01	0,01091	-0,63	-0,54416
0,65	0,00911	0,01023	-0,64	-0,54932
0,66	0,00812	0,00945	-0,65	-0,55438
