!           X_ 1            Y_ 1           X_ 2            Y_ 2           X_ 3            Y_ 3           X_ 4            Y_ 4           X_ 5            Y_ 5           X_ 6            Y_ 6
!------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        52.82777       194.13333        52.82777       211.05688        52.82777       210.08871        52.82777       211.99054        52.82777      -330.31696        53.84892       -76.44695
        52.84077       214.81599        52.84077       211.03386        52.84077       210.02493        52.84077       211.97415        52.84077      -309.61789        56.45376       -76.44695
        53.37376       216.64140        53.37376       214.27136        53.37376       207.48543        53.37376       215.55942        53.37376      -311.37775 000000000000000 000000000000000
        53.38676       230.53105        53.38676       214.62573        53.38676       207.42578        53.38676       215.92458        53.38676      -297.85327 000000000000000 000000000000000
        53.39977       226.32637        53.39977       215.01460        53.39977       207.36626        53.39977       216.32434        53.39977      -302.45770 000000000000000 000000000000000
        53.41277       206.71471        53.41277       215.44179        53.41277       207.30688        53.41277       216.76257        53.41277      -322.50760 000000000000000 000000000000000
        53.42577       184.50667        53.42577       215.91167        53.42577       207.24765        53.42577       217.24364        53.42577      -345.19672 000000000000000 000000000000000
        53.43877       206.38527        53.43877       216.42926        53.43877       207.18857        53.43877       217.77257        53.43877      -323.84705 000000000000000 000000000000000
        53.45177       215.88972        53.45177       217.00037        53.45177       207.12962        53.45177       218.35515        53.45177      -314.92517 000000000000000 000000000000000
        53.46476       207.09848        53.46476       217.63144        53.46476       207.07083        53.46476       218.99785        53.46476      -324.35910 000000000000000 000000000000000
        53.47776       228.06148        53.47776       218.33061        53.47776       207.01219        53.47776       219.70879        53.47776      -304.10706 000000000000000 000000000000000
        53.49076       217.34900        53.49076       219.10672        53.49076       206.95369        53.49076       220.49683        53.49076      -315.60757 000000000000000 000000000000000
        53.50377       208.88568        53.50377       219.97034        53.50377       206.89536        53.50377       221.37253        53.50377      -324.94659 000000000000000 000000000000000
        53.51677       227.44356        53.51677       220.93393        53.51677       206.83717        53.51677       222.34836        53.51677      -307.36453 000000000000000 000000000000000
        53.52977       243.35052        53.52977       222.01228        53.52977       206.77916        53.52977       223.43910        53.52977      -292.54831 000000000000000 000000000000000
        53.54277       246.68950        53.54277       223.22318        53.54277       206.72130        53.54277       224.66257        53.54277      -290.43280 000000000000000 000000000000000
        53.55576       243.41956        53.55576       224.58780        53.55576       206.66362        53.55576       226.03990        53.55576      -295.08008 000000000000000 000000000000000
        53.56876       242.34814        53.56876       226.13376        53.56876       206.60611        53.56876       227.59877        53.56876      -297.71036 000000000000000 000000000000000
        53.58176       227.17685        53.58176       227.89482        53.58176       206.54875        53.58176       229.37289        53.58176      -314.65579 000000000000000 000000000000000
        53.59476       253.32834        53.59476       229.91568        53.59476       206.49159        53.59476       231.40700        53.59476      -290.53839 000000000000000 000000000000000
        53.60777       237.31087        53.60777       232.25676        53.60777       206.43460        53.60777       233.76149        53.60777      -308.91037 000000000000000 000000000000000
        53.62077       232.86180        53.62077       235.00180        53.62077       206.37779        53.62077       236.52013        53.62077      -316.11807 000000000000000 000000000000000
        53.63377       241.02475        53.63377       238.26888        53.63377       206.32117        53.63377       239.80099        53.63377      -311.23599 000000000000000 000000000000000
        53.64677       255.25215        53.64677       242.22498        53.64677       206.26472        53.64677       243.77106        53.64677      -300.97864 000000000000000 000000000000000
        53.65976       269.72437        53.65976       247.10217        53.65976       206.20851        53.65976       248.66241        53.65976      -291.39780 000000000000000 000000000000000
        53.67276       245.51170        53.67276       253.22243        53.67276       206.15247        53.67276       254.79701        53.67276      -321.74506 000000000000000 000000000000000
        53.68576       245.12462        53.68576       261.00500        53.68576       206.09662        53.68576       262.59412        53.68576      -329.92923 000000000000000 000000000000000
        53.69876       257.29330        53.69876       270.97867        53.69876       206.04097        53.69876       272.58252        53.69876      -327.74896 000000000000000 000000000000000
        53.71177       272.92221        53.71177       283.77078        53.71177       205.98553        53.71177       285.38956        53.71177      -324.92709 000000000000000 000000000000000
        53.72477       315.07626        53.72477       300.07407        53.72477       205.93031        53.72477       301.70795        53.72477      -299.09143 000000000000000 000000000000000
        53.73777       323.55508        53.73777       320.58505        53.73777       205.87531        53.73777       322.23425        53.73777      -311.13892 000000000000000 000000000000000
        53.75077       328.82187        53.75077       345.91107        53.75077       205.82051        53.75077       347.57578        53.75077      -331.21365 000000000000000 000000000000000
        53.76376       369.55862        53.76376       376.43124        53.76376       205.76596        53.76376       378.11163        53.76376      -321.01276 000000000000000 000000000000000
        53.77676       402.29172        53.77676       412.15015        53.77676       205.71162        53.77676       413.84644        53.77676      -324.01447 000000000000000 000000000000000
        53.78976       456.32932        53.78976       452.36356        53.78976       205.65752        53.78976       454.07590        53.78976      -310.20633 000000000000000 000000000000000
        53.80276       481.34805        53.80276       495.26263        53.80276       205.60365        53.80276       496.99130        53.80276      -328.10300 000000000000000 000000000000000
        53.81577       540.89716        53.81577       537.39648        53.81577       205.55002        53.81577       539.14178        53.81577      -310.70438 000000000000000 000000000000000
        53.82877       596.51532        53.82877       573.45178        53.82877       205.49664        53.82877       575.21393        53.82877      -291.15836 000000000000000 000000000000000
        53.84177       656.35486        53.84177       597.22394        53.84177       205.44351        53.84177       599.00323        53.84177      -255.10811 000000000000000 000000000000000
        53.85477       611.62714        53.85477       604.26440        53.85477       205.39063        53.85477       606.06122        53.85477      -306.89383 000000000000000 000000000000000
        53.86776       600.62378        53.86776       594.65576        53.86776       205.33803        53.86776       596.47040        53.86776      -308.30637 000000000000000 000000000000000
        53.88076       576.93787        53.88076       573.13379        53.88076       205.28568        53.88076       574.96661        53.88076      -310.48849 000000000000000 000000000000000
        53.89376       562.74408        53.89376       546.42181        53.89376       205.23360        53.89376       548.27313        53.89376      -297.98880 000000000000000 000000000000000
        53.90676       505.58374        53.90676       520.37738        53.90676       205.18179        53.90676       522.24744        53.90676      -329.12344 000000000000000 000000000000000
        53.91977       457.24847        53.91977       498.75760        53.91977       205.13028        53.91977       500.64670        53.91977      -355.85797 000000000000000 000000000000000
        53.93277       457.76395        53.93277       483.22495        53.93277       205.07904        53.93277       485.13333        53.93277      -339.82913 000000000000000 000000000000000
        53.94577       446.77020        53.94577       473.65918        53.94577       205.02811        53.94577       475.58710        53.94577      -341.27664 000000000000000 000000000000000
        53.95877       440.73795        53.95877       468.34320        53.95877       204.97748        53.95877       470.29095        53.95877      -342.01276 000000000000000 000000000000000
        53.97176       488.91077        53.97176       464.16675        53.97176       204.92715        53.97176       466.13461        53.97176      -289.68359 000000000000000 000000000000000
        53.98476       507.30237        53.98476       457.33765        53.98476       204.87714        53.98476       459.32593        53.98476      -264.48331 000000000000000 000000000000000
        53.99776       471.11063        53.99776       444.87811        53.99776       204.82744        53.99776       446.88718        53.99776      -288.23630 000000000000000 000000000000000
        54.01077       442.47141        54.01077       426.08472        54.01077       204.77806        54.01077       428.11493        54.01077      -298.10327 000000000000000 000000000000000
        54.02377       431.40237        54.02377       402.61142        54.02377       204.72902        54.02377       404.66315        54.02377      -285.72052 000000000000000 000000000000000
        54.03677       394.63559        54.03677       377.15527        54.03677       204.68031        54.03677       379.22885        54.03677      -297.05301 000000000000000 000000000000000
        54.04977       353.64343        54.04977       352.10416        54.04977       204.63196        54.04977       354.19995        54.04977      -313.01627 000000000000000 000000000000000
        54.06277       297.17789        54.06277       328.99802        54.06277       204.58395        54.06277       331.11636        54.06277      -346.39822 000000000000000 000000000000000
        54.07576       309.88693        54.07576       308.61151        54.07576       204.53633        54.07576       310.75275        54.07576      -313.32556 000000000000000 000000000000000
        54.08876       278.20447        54.08876       291.18106        54.08876       204.48906        54.08876       293.34555        54.08876      -327.60083 000000000000000 000000000000000
        54.10176       271.11566        54.10176       276.64694        54.10176       204.44217        54.10176       278.83502        54.10176      -320.17911 000000000000000 000000000000000
        54.11477       232.04794        54.11477       264.76144        54.11477       204.39566        54.11477       266.97351        54.11477      -347.38531 000000000000000 000000000000000
        54.12777       270.52301        54.12777       255.18091        54.12777       204.34955        54.12777       257.41736        54.12777      -299.35410 000000000000000 000000000000000
        54.14077       275.81805        54.14077       247.52570        54.14077       204.30383        54.14077       249.78691        54.14077      -286.42859 000000000000000 000000000000000
        54.15377       229.74084        54.15377       241.42377        54.15377       204.25854        54.15377       243.71013        54.15377      -326.42902 000000000000000 000000000000000
        54.16676       257.82993        54.16676       236.54108        54.16676       204.21367        54.16676       238.85301        54.16676      -293.48282 000000000000000 000000000000000
        54.17976       224.87943        54.17976       232.59198        54.17976       204.16924        54.17976       234.92992        54.17976      -322.51022 000000000000000 000000000000000
        54.19276       258.57602        54.19276       229.35216        54.19276       204.12523        54.19276       231.71654        54.19276      -285.60025 000000000000000 000000000000000
        54.20576       230.34633        54.20576       226.64888        54.20576       204.08167        54.20576       229.04015        54.20576      -311.15356 000000000000000 000000000000000
        54.21877       211.79463        54.21877       224.35439        54.21877       204.03857        54.21877       226.77299        54.21877      -327.43811 000000000000000 000000000000000
        54.23177       210.88614        54.23177       222.37617        54.23177       203.99596        54.23177       224.82260        54.23177      -326.39621 000000000000000 000000000000000
        54.24477       211.00153        54.24477       220.64778        54.24477       203.95381        54.24477       223.12250        54.24477      -324.58072 000000000000000 000000000000000
        54.25777       189.38191        54.25777       219.12117        54.25777       203.91217        54.25777       221.62468        54.25777      -344.70251 000000000000000 000000000000000
        54.27076       219.34125        54.27076       217.76143        54.27076       203.87105        54.27076       220.29422        54.27076      -313.41272 000000000000000 000000000000000
        54.28376       220.71294        54.28376       216.54109        54.28376       203.83041        54.28376       219.10368        54.28376      -310.85049 000000000000000 000000000000000
        54.29676       235.02707        54.29676       215.43988        54.29676       203.79033        54.29676       218.03281        54.29676      -295.46548 000000000000000 000000000000000
        54.30976       218.20572        54.30976       214.44122        54.30976       203.75078        54.30976       217.06503        54.30976      -311.31906 000000000000000 000000000000000
        54.32277       213.18663        54.32277       213.53165        54.32277       203.71178        54.32277       216.18689        54.32277      -315.45999 000000000000000 000000000000000
        54.33577       209.78152        54.33577       212.69992        54.33577       203.67334        54.33577       215.38716        54.33577      -318.06537 000000000000000 000000000000000
        54.34877       224.10818        54.34877       211.93657        54.34877       203.63550        54.34877       214.65639        54.34877      -303.00793 000000000000000 000000000000000
        54.36177       217.79440        54.36177       211.23358        54.36177       203.59825        54.36177       213.98659        54.36177      -308.65192 000000000000000 000000000000000
        54.37476       208.02423        54.37476       210.58427        54.37476       203.56161        54.37476       213.37106        54.37476      -317.80658 000000000000000 000000000000000
        54.38776       209.82820        54.38776       209.98236        54.38776       203.52560        54.38776       212.80356        54.38776      -315.43509 000000000000000 000000000000000
        54.40076       213.26781        54.40076       209.42291        54.40076       203.49023        54.40076       212.27916        54.40076      -311.47110 000000000000000 000000000000000
        54.41376       214.74706        54.41376       208.90149        54.41376       203.45552        54.41376       211.79346        54.41376      -309.50613 000000000000000 000000000000000
        54.42677       220.88634        54.42677       208.41423        54.42677       203.42148        54.42677       211.34258        54.42677      -302.91599 000000000000000 000000000000000
        54.43977       216.47047        54.43977       207.95773        54.43977       203.38814        54.43977       210.92317        54.43977      -306.91245 000000000000000 000000000000000
        54.45277       220.44345        54.45277       207.52904        54.45277       203.35550        54.45277       210.53226        54.45277      -302.54855 000000000000000 000000000000000
        54.46577       225.82503        54.46577       207.12550        54.46577       203.32358        54.46577       210.16724        54.46577      -296.80194 000000000000000 000000000000000
        54.47876       226.30571        54.47876       206.74493        54.47876       203.29243        54.47876       209.82593        54.47876      -295.97995 000000000000000 000000000000000
        54.49176       234.91992        54.49176       206.38504        54.49176       203.26202        54.49176       209.50606        54.49176      -287.04587 000000000000000 000000000000000
        54.50476       220.07072        54.50476       206.04411        54.50476       203.23241        54.50476       209.20593        54.50476      -301.59494 000000000000000 000000000000000
        54.51777       220.99442        54.51777       205.72052        54.51777       203.20360        54.51777       208.92395        54.51777      -300.38928 000000000000000 000000000000000
        54.53077       227.31419        54.53077       205.41278        54.53077       203.17563        54.53077       208.65868        54.53077      -293.80423 000000000000000 000000000000000
        54.54377       224.12347        54.54377       205.11963        54.54377       203.14850        54.54377       208.40881        54.54377      -296.74509 000000000000000 000000000000000
        54.55677       223.27451        54.55677       204.83986        54.55677       203.12224        54.55677       208.17322        54.55677      -297.35846 000000000000000 000000000000000
        54.56977       211.47099        54.56977       204.57242        54.56977       203.09688        54.56977       207.95084        54.56977      -308.93958 000000000000000 000000000000000
        54.58276       210.16765        54.58276       204.31644        54.58276       203.07243        54.58276       207.74081        54.58276      -310.03290 000000000000000 000000000000000
        54.59576       206.11443        54.59576       204.07088        54.59576       203.04893        54.59576       207.54221        54.59576      -313.88751 000000000000000 000000000000000
        54.60876       218.30826        54.60876       203.83505        54.60876       203.02641        54.60876       207.35428        54.60876      -301.50577 000000000000000 000000000000000
