!           X_ 1            Y_ 1           X_ 2            Y_ 2           X_ 3            Y_ 3           X_ 4            Y_ 4
!--------------------------------------------------------------------------------------------------------------------------------
        66.12676      1105.20178        66.12676      1100.28271        66.12676      -401.06882 000000000000000 000000000000000
        66.13976      1358.17468        66.13976      1365.00391        66.13976      -412.81711 000000000000000 000000000000000
        66.15276      1633.65649        66.15276      1680.51013        66.15276      -452.84152 000000000000000 000000000000000
        66.16576      1986.26892        66.16576      2032.87073        66.16576      -452.58969 000000000000000 000000000000000
        66.17876      2350.56714        66.17876      2391.96875        66.17876      -447.38950 000000000000000 000000000000000
        66.19176      2758.82153        66.19176      2706.46069        66.19176      -353.62704 000000000000000 000000000000000
        66.20477      3000.29688        66.20477      2908.38770        66.20477      -314.07870 000000000000000 000000000000000
        66.21777      3001.38062        66.21777      2941.16602        66.21777      -345.77328 000000000000000 000000000000000
        66.23077      2884.80103        66.23077      2798.86719        66.23077      -320.05405 000000000000000 000000000000000
        66.24377      2531.83960        66.24377      2532.14746        66.24377      -406.29575 000000000000000 000000000000000
        66.25677      2147.76660        66.25677      2212.96899        66.25677      -471.19028 000000000000000 000000000000000
        66.26977      1837.33606        66.26977      1901.46472        66.26977      -470.11655 000000000000000 000000000000000
        66.28277      1591.78687        66.28277      1636.81628        66.28277      -451.01730 000000000000000 000000000000000
        66.29577      1411.74536        66.29577      1440.85254        66.29577      -435.09506 000000000000000 000000000000000
        66.30876      1318.67163        66.30876      1322.82153        66.30876      -410.13779 000000000000000 000000000000000
        66.32176      1294.72522        66.32176      1282.16846        66.32176      -393.43112 000000000000000 000000000000000
        66.33476      1287.18713        66.33476      1310.68127        66.33476      -429.48203 000000000000000 000000000000000
        66.34776      1343.25024        66.34776      1392.86682        66.34776      -455.60446 000000000000000 000000000000000
        66.36076      1466.05603        66.36076      1505.39636        66.36076      -445.32822 000000000000000 000000000000000
        66.37376      1528.26855        66.37376      1615.64929        66.37376      -493.36862 000000000000000 000000000000000
        66.38676      1651.21130        66.38676      1683.84583        66.38676      -438.62241 000000000000000 000000000000000
        66.39977      1702.52161        66.39977      1676.03442        66.39977      -379.50070 000000000000000 000000000000000
        66.41277      1609.05957        66.41277      1583.62891        66.41277      -380.55722 000000000000000 000000000000000
        66.42577      1426.22668        66.42577      1427.68176        66.42577      -407.44296 000000000000000 000000000000000
        66.43877      1217.92322        66.43877      1241.68677        66.43877      -429.75143 000000000000000 000000000000000
        66.45177      1062.97131        66.45177      1053.98523        66.45177      -397.00180 000000000000000 000000000000000
        66.46477       909.86200        66.46477       882.32434        66.46477      -378.45023 000000000000000 000000000000000
        66.47777       765.07764        66.47777       735.57489        66.47777      -376.48514 000000000000000 000000000000000
        66.49077       629.70331        66.49077       616.50232        66.49077      -392.78690 000000000000000 000000000000000
        66.50377       564.25629        66.50377       523.89893        66.50377      -365.63052 000000000000000 000000000000000
        66.51676       521.20996        66.51676       454.25717        66.51676      -339.03510 000000000000000 000000000000000
        66.52976       459.05414        66.52976       402.95126        66.52976      -349.88501 000000000000000 000000000000000
        66.54276       409.84753        66.54276       365.48001        66.54276      -361.62036 000000000000000 000000000000000
        66.55576       354.82507        66.55576       337.91196        66.55576      -389.07477 000000000000000 000000000000000
        66.56876       338.74997        66.56876       317.18976        66.56876      -384.42767 000000000000000 000000000000000
        66.58176       343.46100        66.58176       301.12289        66.58176      -363.64978 000000000000000 000000000000000
        66.59476       314.84262        66.59476       288.23660        66.59476      -379.38187 000000000000000 000000000000000
        66.60777       261.89279        66.60777       277.57867        66.60777      -421.67377 000000000000000 000000000000000
        66.62077       253.29401        66.62077       268.54507        66.62077      -421.23895 000000000000000 000000000000000
        66.63377       254.66611        66.63377       260.74887        66.63377      -412.07065 000000000000000 000000000000000
        66.64677       234.04645        66.64677       253.93306        66.64677      -425.87451 000000000000000 000000000000000
        66.65977       235.80460        66.65977       247.91792        66.65977      -418.10123 000000000000000 000000000000000
        66.67277       232.83432        66.67277       242.57051        66.67277      -415.72409 000000000000000 000000000000000
        66.68577       235.93137        66.68577       237.78802        66.68577      -407.84454 000000000000000 000000000000000
        66.69877       229.48024        66.69877       233.48828        66.69877      -409.99594 000000000000000 000000000000000
        66.71176       210.38342        66.71176       229.60641        66.71176      -425.21088 000000000000000 000000000000000
        66.72476       212.67508        66.72476       226.08238        66.72476      -419.39520 000000000000000 000000000000000
        66.73776       193.57799        66.73776       222.87221        66.73776      -435.28210 000000000000000 000000000000000
        66.75076       193.20190        66.75076       219.93683        66.75076      -432.72281 000000000000000 000000000000000
        66.76376       212.40587        66.76376       217.24318        66.76376      -410.82520 000000000000000 000000000000000
        66.77676       210.54762        66.77676       214.76306        66.77676      -410.20334 000000000000000 000000000000000
        66.78976       214.00154        66.78976       212.47232        66.78976      -404.45868 000000000000000 000000000000000
        66.80276       210.52885        66.80276       210.35019        66.80276      -405.80923 000000000000000 000000000000000
        66.81577       198.08881        66.81577       208.37868        66.81577      -416.27777 000000000000000 000000000000000
        66.82877       186.92311        66.82877       206.54218        66.82877      -425.60696 000000000000000 000000000000000
        66.84177       185.81885        66.84177       204.82709        66.84177      -424.99612 000000000000000 000000000000000
        66.85477       190.50192        66.85477       203.22147        66.85477      -418.70743 000000000000000 000000000000000
        66.86777       190.68007        66.86777       201.71487        66.86777      -417.02271 000000000000000 000000000000000
        66.88077       199.44992        66.88077       200.29805        66.88077      -406.83603 000000000000000 000000000000000
        66.89377       208.14172        66.89377       198.96283        66.89377      -396.80899 000000000000000 000000000000000
        66.90677       195.90073        66.90677       197.70198        66.90677      -407.78915 000000000000000 000000000000000
        66.91976       186.80043        66.91976       196.50972        66.91976      -415.69717 000000000000000 000000000000000
        66.93276       186.37683        66.93276       195.37889        66.93276      -414.98996 000000000000000 000000000000000
        66.94576       203.37856        66.94576       194.30505        66.94576      -396.91440 000000000000000 000000000000000
        66.95876       196.17183        66.95876       193.28360        66.95876      -403.09967 000000000000000 000000000000000
        66.97176       199.24835        66.97176       192.31036        66.97176      -399.04990 000000000000000 000000000000000
        66.98476       209.94746        66.98476       191.38159        66.98476      -387.42203 000000000000000 000000000000000
        66.99776       202.45416        66.99776       190.49390        66.99776      -394.02762 000000000000000 000000000000000
        67.01077       193.26289        67.01077       189.64423        67.01077      -402.36923 000000000000000 000000000000000
        67.02377       194.03474        67.02377       188.82976        67.02377      -400.78290 000000000000000 000000000000000
        67.03677       185.78125        67.03677       188.04800        67.03677      -408.25464 000000000000000 000000000000000
        67.04977       178.02135        67.04977       187.29663        67.04977      -415.26318 000000000000000 000000000000000
        67.06277       194.63509        67.06277       186.57355        67.06277      -397.92636 000000000000000 000000000000000
        67.07577       180.83896        67.07577       185.87682        67.07577      -411.02576 000000000000000 000000000000000
