!           X_ 1            Y_ 1           X_ 2            Y_ 2           X_ 3            Y_ 3           X_ 4            Y_ 4           X_ 5            Y_ 5           X_ 6            Y_ 6
!------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
        51.81377       230.36145        51.81377       224.91473        51.81377       224.53043        51.81377       224.96477        51.81377      -441.51773        56.45327      -159.55650
        51.82677       231.80089        51.82677       224.86958        51.82677       224.48294        51.82677       224.91971        51.82677      -440.03323        66.21262      -159.55650
        51.83976       223.32031        51.83976       224.82446        51.83976       224.43549        51.83976       224.87468        51.83976      -448.46878 000000000000000 000000000000000
        51.85276       229.40463        51.85276       224.77936        51.85276       224.38800        51.85276       224.82967        51.85276      -442.33945 000000000000000 000000000000000
        51.86576       234.38235        51.86576       224.73427        51.86576       224.34053        51.86576       224.78467        51.86576      -437.31674 000000000000000 000000000000000
        51.87877       228.87788        51.87877       224.68921        51.87877       224.29305        51.87877       224.73970        51.87877      -442.77625 000000000000000 000000000000000
        51.89177       208.56842        51.89177       224.64417        51.89177       224.24557        51.89177       224.69473        51.89177      -463.04074 000000000000000 000000000000000
        51.90477       221.80103        51.90477       224.59914        51.90477       224.19809        51.90477       224.64981        51.90477      -449.76321 000000000000000 000000000000000
        51.91777       223.89220        51.91777       224.55414        51.91777       224.15062        51.91777       224.60489        51.91777      -447.62711 000000000000000 000000000000000
        51.93076       212.59395        51.93076       224.50917        51.93076       224.10315        51.93076       224.56001        51.93076      -458.88049 000000000000000 000000000000000
        51.94376       219.72592        51.94376       224.46420        51.94376       224.05568        51.94376       224.51515        51.94376      -451.70364 000000000000000 000000000000000
        51.95676       205.51085        51.95676       224.41927        51.95676       224.00821        51.95676       224.47031        51.95676      -465.87387 000000000000000 000000000000000
        51.96976       213.77600        51.96976       224.37436        51.96976       223.96072        51.96976       224.42549        51.96976      -457.56390 000000000000000 000000000000000
        51.98277       232.41156        51.98277       224.32947        51.98277       223.91325        51.98277       224.38069        51.98277      -438.88354 000000000000000 000000000000000
        51.99577       232.45459        51.99577       224.28461        51.99577       223.86578        51.99577       224.33592        51.99577      -438.79575 000000000000000 000000000000000
